No. ,Provinsi,Ketersediaan Air bersih (ribu m3),Kepadatan Penduduk  (jiwa/km2),Persentase Rumah Tangga Memiliki Akses terhadap Sanitasi Layak (Persen)
,ACEH,54456,92,12.75
,SUMATERA UTARA,321041,205,7.10
,SUMATERA BARAT,105405,133,11.60
,RIAU,18547,75,4.38
,JAMBI,49333,72,7.22
,SUMATERA SELATAN,197289,93,7.92
,BENGKULU,24848,102,7.16
,LAMPUNG,18232,262,2.59
,KEP. BANGKA BELITUNG,8211,90,3.29
,KEP. RIAU,95069,258,0.52
,DKI JAKARTA,495417,15978,0.12
,JAWA BARAT,413526,1379,3.53
,JAWA TENGAH,511207,1120,4.19
,DI YOGYAKARTA,48303,1185,0.63
,JAWA TIMUR,737083,855,7.10
,BANTEN,236878,1248,7.66
,BALI,145650,755,3.00
,NUSA TENGGARA BARAT,83671,290,12.64
,NUSA TENGGARA TIMUR,34016,111,7.50
,KALIMANTAN BARAT,75795,37,9.91
,KALIMANTAN TENGAH,45902,18,0.71
,KALIMANTAN SELATAN,115242,106,1.19
,KALIMANTAN TIMUR,200771,30,1.83
,KALIMANTAN UTARA,28384,9,2.97
,SULAWESI UTARA,32054,190,6.54
,SULAWESI TENGAH,21051,49,14.25
,SULAWESI SELATAN,149500,196,3.17
,SULAWESI TENGGARA,17519,70,7.53
,GORONTALO,20553,105,12.41
,SULAWESI BARAT,9292,86,12.43
,MALUKU,10034,40,11.51
,MALUKU UTARA,25824,41,8.49
,PAPUA BARAT,5464,11,5.36
,PAPUA,20127,14,23.82
