Nomor ID,Ketersediaan Air bersih (ribu m3),Persentase Rumah Tangga Memiliki Akses terhadap Sanitasi Layak (Persen)
1,54456,12.75
2,321041,7.10
3,105405,11.60
4,18547,4.38
5,49333,7.22
6,197289,7.92
7,24848,7.16
8,18232,2.59
9,8211,3.29
10,95069,0.52
11,495417,0.12
12,413526,3.53
13,511207,4.19
14,48303,0.63
15,737083,7.10
16,236878,7.66
17,145650,3.00
18,83671,12.64
19,34016,7.50
20,75795,9.91
21,45902,0.71
22,115242,1.19
23,200771,1.83
24,28384,2.97
25,32054,6.54
26,21051,14.25
27,149500,3.17
28,17519,7.53
29,20553,12.41
30,9292,12.43
31,10034,11.51
32,25824,8.49
33,5464,5.36
34,20127,23.82
