Provinsi,Ketersediaan Air bersih (ribu m3),Jumlah Penduduk  (jiwa/km2),Persentase Rumah Tangga Memiliki Akses terhadap Sanitasi Layak (Persen)
ACEH,89.70,5407.9,12.75
SUMATERA UTARA,92.13,15115.2,7.10
SUMATERA BARAT,85.23,5640.6,11.60
RIAU,90.07,6614.4,4.38
JAMBI,79.19,2179.8,7.22
SUMATERA SELATAN,86.35,3631.1,7.92
BENGKULU,73.07,8657.0,7.16
LAMPUNG,81.60,1494.6,2.59
KEP. BANGKA BELITUNG,80.96,2060.1,3.29
KEP. RIAU,91.82,9176.6,0.52
DKI JAKARTA,97.93,10680.0,0.12
JAWA BARAT,93.04,49405.8,3.53
JAWA TENGAH,93.32,12252.0,4.19
DI YOGYAKARTA,96.50,37032.4,0.63
JAWA TIMUR,95.05,3761.9,7.10
BANTEN,92.71,41150.0,7.66
BALI,98.42,5541.4,3.00
NUSA TENGGARA BARAT,95.40,2741.1,12.64
NUSA TENGGARA TIMUR,86.76,4182.1,7.50
KALIMANTAN BARAT,80.43,3859.8,9.91
KALIMANTAN TENGAH,77.01,727.8,0.71
KALIMANTAN SELATAN,76.18,2659.5,1.19
KALIMANTAN TIMUR,87.14,1192.7,1.83
KALIMANTAN UTARA,89.96,3066.1,2.97
SULAWESI UTARA,94.15,9225.8,6.54
SULAWESI TENGAH,86.74,1458.6,14.25
SULAWESI SELATAN,91.96,2701.7,3.17
SULAWESI TENGGARA,94.64,4415.1,7.53
GORONTALO,96.16,5473.7,12.41
SULAWESI BARAT,78.98,5466.3,12.43
MALUKU,92.10,1881.7,11.51
MALUKU UTARA,88.10,1319.3,8.49
PAPUA BARAT,81.57,1183.3,5.36
PAPUA,65.39,4418.6,23.82
