Provinsi,Ketersediaan Air bersih (ribu m3),Kepadatan Penduduk  (jiwa/km2),Persentase Rumah Tangga Memiliki Akses terhadap Sanitasi Layak (Persen)
ACEH,54456,5333.7,12.75
SUMATERA UTARA,321041,14936.2,7.10
SUMATERA BARAT,105405,5580.2,11.60
RIAU,18547,6493.6,4.38
JAMBI,49333,2118.2,7.22
SUMATERA SELATAN,197289,3585.1,7.92
BENGKULU,24848,8550.9,7.16
LAMPUNG,18232,1473.2,2.59
KEP. BANGKA BELITUNG,8211,2032.9,3.29
KEP. RIAU,95069,9081.8,0.52
DKI JAKARTA,495417,10609.7,0.12
JAWA BARAT,413526,48782.4,3.53
JAWA TENGAH,511207,12061.5,4.19
DI YOGYAKARTA,48303,36742.5,0.63
JAWA TIMUR,737083,3712.9,7.10
BANTEN,236878,40878.8,7.66
BALI,145650,5470.8,3.00
NUSA TENGGARA BARAT,83671,2702.2,12.64
NUSA TENGGARA TIMUR,34016,4122.6,7.50
KALIMANTAN BARAT,75795,3808.2,9.91
KALIMANTAN TENGAH,45902,713.6,0.71
KALIMANTAN SELATAN,115242,2638.6,1.19
KALIMANTAN TIMUR,200771,1181.0,1.83
KALIMANTAN UTARA,28384,3021.9,2.97
SULAWESI UTARA,32054,9139.5,6.54
SULAWESI TENGAH,21051,1436.8,14.25
SULAWESI SELATAN,149500,2659.2,3.17
SULAWESI TENGGARA,17519,4362.7,7.53
GORONTALO,20553,5390.0,12.41
SULAWESI BARAT,9292,5387.7,12.43
MALUKU,10034,1862.6,11.51
MALUKU UTARA,25824,1299.2,8.49
PAPUA BARAT,5464,1156.8,5.36
PAPUA,20127,4355.5,23.82
