Provinsi,Ketersediaan Air bersih (ribu m3),Jumlah Penduduk  (ribu jiwa),Jumlah Sanitasi Layak
ACEH,54.456,5.333.000,1.057.223
SUMATERA UTARA,321.041,14.936.200,3.125.277
SUMATERA BARAT,105.405,5.580.200,1.012.909
RIAU,18.547,6.493.600,1.523.384
JAMBI,49.333,2.118.000,839.S62
SUMATERA SELATAN,197.289,3.585.100,1.983.335
BENGKULU,24.848,8.550.900,511.740
LAMPUNG,18.232,1.473.200,2.038.S39
KEP. BANGKA BELITUNG,8.211,2.032.900,534.470
KEP. RIAU,95.069,9.081.800,610.484
DKI JAKARTA,495.417,10.609.700,2.660.976
JAWA BARAT,413.526,48.782.400,11.718.054
JAWA TENGAH,511.207,12.061.500,10.080.982
DI YOGYAKARTA,48.303,36.742.500,1.088.699
JAWA TIMUR,737.083,3.712.900,11.079.435
BANTEN,236.878,40.878.800,117.215
BALI,145.650,5.470.800,1.011.266
NUSA TENGGARA BARAT,83.671,2.702.200,1.333.507
NUSA TENGGARA TIMUR,34.016,4.122.600,1.079.819
KALIMANTAN BARAT,75.795,3.808.200,967.707
KALIMANTAN TENGAH,45.902,713.600,533.722
KALIMANTAN SELATAN,115.242,2.638.600,921.679
KALIMANTAN TIMUR,200.771,1.181.000,860.4 18
KALIMANTAN UTARA,28.384,3.021.900,112.898
SULAWESI UTARA,32.054,9.139.500,S88.233
SULAWESI TENGAH,21.051,1.436.800,632.196
SULAWESI SELATAN,149.500,2.659.200,2.175.940
SULAWESI TENGGARA,17.519,4.362.700,S38.927
GORONTALO,20.553,5.390.000,251.272
SULAWESI BARAT,9.292,5.387.700,262.048
MALUKU,10.034,1.862.600,283.848
MALUKU UTARA,25.824,1.299.200,213.982
PAPUA BARAT,5.464,1.156.800,82.273
PAPUA,20.127,4.355.500,362.180
